id,title,ratings,director,writer,pri_genre,sec_genre,ter_genre,release_date,language,company,duration,eze_rank
6407,Government House,,Afam Okereke,,Drama,,,4/1/2004,English,Ulzee Nigeria Ltd.,,190
953,The Cartel 2,,Chico Ejiro,,Drama,Romance,,8/1/2004,English,Vins Concepts,,226
6368,Fake Doctor,,Ifeanyi Ikpoenyi,,Comedy,Drama,,1/1/2002,English,Sontec Production,,250
416,Spanner,,Moses Ebere,,Comedy,Drama,,2/1/2002,English,Be Good Ventures,,401
1137,Husband Material,,Pascal Amanfo,,Drama,,,10/1/2019,English,Mekfilmz,,216
3931,The Good Doctor,9.1,Omoruyi Wallz Efosa,Eyo Emmanuel,Drama,,,4/1/2021,English,One & Two Films,92,124
4408,Mirabel,,Judith Audu,"Moses Akerele,Judith Audu",Short,Drama,,12/1/2018,English,Judith Audu Productions,18,178
441,Ponzi,5.1,Kayode Kasum,"Joshua Obayan,Toluwani Obayan",Comedy,,,3/1/2021,English,"Film Trybe,VSL Media",110,476
4331,Diva,,Muyiwa Aluko,Israel Eziedo,Drama,,,11/1/2018,English,Rok Studios,,325
6199,Er„π El„©R„π,,Yemi Amodu,,Drama,,,3/1/2003,Yoruba,Flem Film Productions,,122
3224,N150 Million 2,,Abiodun Olanrewaju,,Action,Drama,,8/1/2004,Yoruba,"Corporate Pictures,Yinka Quadri Productions",,445
2315,Across The Bridge 2,,MacCollins Chidebe,,Drama,,,12/1/2005,English,Magic Movies Production,,458
6890,Learning Curves,,Ndu Scott,Oluwabori Ijimakinde,Comedy,Drama,,5/1/2014,English,Red Star Media,,280
4796,Muna: The Short Film,,Adeniyi Joseph,Adeniyi Joseph,Short,Drama,Family,12/1/2017,English,,23,4
2620,Old Firewood,,Paul Iheanyichukwu Igwe,Adekunle Salawu,Drama,,,11/1/2017,English,Whitestone Cinema,104,358
4863,Excess Money,,Iyke Odife,Iyke Odife,Drama,,,4/1/2008,English,Kensimon Production,,336
7031,Farayola,,"Taiwo Adebayo,Bayo Alawiye","Writers,Taiwo Adebayo,Abibat S. Ayinde,Fathia Balogun",Drama,,,12/1/2009,Yoruba,Taiwo Adebayo Films,,622
